DATE,CES3000000030
1968-01-01,113.52
1968-02-01,115.06
1968-03-01,115.87
1968-04-01,114.86
1968-05-01,117.38
1968-06-01,117.79
1968-07-01,117.91
1968-08-01,117.62
1968-09-01,119.43
1968-10-01,120.54
1968-11-01,121.06
1968-12-01,120.88
1969-01-01,121.99
1969-02-01,121.20
1969-03-01,122.81
1969-04-01,124.23
1969-05-01,123.73
1969-06-01,124.14
1969-07-01,125.05
1969-08-01,125.86
1969-09-01,126.67
1969-10-01,126.77
1969-11-01,127.17
1969-12-01,127.89
1970-01-01,127.66
1970-02-01,127.43
1970-03-01,127.92
1970-04-01,126.96
1970-05-01,128.16
1970-06-01,128.95
1970-07-01,130.00
1970-08-01,129.75
1970-09-01,130.28
1970-10-01,128.77
1970-11-01,128.77
1970-12-01,131.14
1971-01-01,134.06
1971-02-01,134.58
1971-03-01,134.92
1971-04-01,136.06
1971-05-01,137.20
1971-06-01,137.66
1971-07-01,138.40
1971-08-01,138.50
1971-09-01,138.16
1971-10-01,139.65
1971-11-01,139.60
1971-12-01,142.71
1972-01-01,143.51
1972-02-01,145.84
1972-03-01,146.65
1972-04-01,147.83
1972-05-01,148.64
1972-06-01,149.41
1972-07-01,149.45
1972-08-01,151.44
1972-09-01,152.25
1972-10-01,153.85
1972-11-01,154.25
1972-12-01,155.50
1973-01-01,155.94
1973-02-01,158.28
1973-03-01,158.69
1973-04-01,159.53
1973-05-01,159.95
1973-06-01,160.77
1973-07-01,161.99
1973-08-01,162.40
1973-09-01,164.02
1973-10-01,164.43
1973-11-01,165.24
1973-12-01,166.05
1974-01-01,166.05
1974-02-01,166.85
1974-03-01,167.66
1974-04-01,164.32
1974-05-01,171.28
1974-06-01,172.86
1974-07-01,173.63
1974-08-01,176.08
1974-09-01,176.80
1974-10-01,179.20
1974-11-01,177.36
1974-12-01,177.64
1975-01-01,177.97
1975-02-01,178.16
1975-03-01,179.64
1975-04-01,180.57
1975-05-01,181.35
1975-06-01,183.46
1975-07-01,185.57
1975-08-01,188.58
1975-09-01,190.24
1975-10-01,191.52
1975-11-01,192.72
1975-12-01,195.37
1976-01-01,197.47
1976-02-01,199.58
1976-03-01,200.20
1976-04-01,197.21
1976-05-01,203.11
1976-06-01,203.81
1976-07-01,205.93
1976-08-01,207.43
1976-09-01,209.04
1976-10-01,207.60
1976-11-01,210.53
1976-12-01,211.07
1977-01-01,210.79
1977-02-01,215.47
1977-03-01,217.62
1977-04-01,220.18
1977-05-01,222.35
1977-06-01,224.37
1977-07-01,225.43
1977-08-01,226.64
1977-09-01,228.26
1977-10-01,231.01
1977-11-01,231.66
1977-12-01,232.30
1978-01-01,230.29
1978-02-01,233.81
1978-03-01,238.14
1978-04-01,239.57
1978-05-01,240.78
1978-06-01,244.01
1978-07-01,246.04
1978-08-01,246.65
1978-09-01,249.08
1978-10-01,251.10
1978-11-01,254.16
1978-12-01,255.56
1979-01-01,256.94
1979-02-01,259.20
1979-03-01,261.87
1979-04-01,252.70
1979-05-01,262.10
1979-06-01,263.71
1979-07-01,264.92
1979-08-01,265.86
1979-09-01,267.47
1979-10-01,269.74
1979-11-01,270.27
1979-12-01,272.68
1980-01-01,272.80
1980-02-01,275.89
1980-03-01,277.31
1980-04-01,277.41
1980-05-01,275.89
1980-06-01,278.32
1980-07-01,279.96
1980-08-01,285.98
1980-09-01,289.08
1980-10-01,293.72
1980-11-01,298.05
1980-12-01,301.55
1981-01-01,303.96
1981-02-01,303.28
1981-03-01,307.20
1981-04-01,311.18
1981-05-01,313.96
1981-06-01,314.00
1981-07-01,314.81
1981-08-01,318.80
1981-09-01,317.99
1981-10-01,319.18
1981-11-01,318.35
1981-12-01,317.13
1982-01-01,308.10
1982-02-01,325.12
1982-03-01,322.18
1982-04-01,323.75
1982-05-01,325.70
1982-06-01,328.10
1982-07-01,329.28
1982-08-01,328.77
1982-09-01,329.55
1982-10-01,328.32
1982-11-01,329.94
1982-12-01,331.11
1983-01-01,334.84
1983-02-01,337.59
1983-03-01,340.16
1983-04-01,341.82
1983-05-01,345.60
1983-06-01,347.27
1983-07-01,351.01
1983-08-01,351.01
1983-09-01,355.66
1983-10-01,357.28
1983-11-01,358.90
1983-12-01,359.24
1984-01-01,361.75
1984-02-01,366.61
1984-03-01,364.67
1984-04-01,366.38
1984-05-01,365.89
1984-06-01,366.62
1984-07-01,367.43
1984-08-01,368.15
1984-09-01,369.36
1984-10-01,370.58
1984-11-01,371.28
1984-12-01,373.41
1985-01-01,373.58
1985-02-01,372.53
1985-03-01,376.53
1985-04-01,378.68
1985-05-01,378.55
1985-06-01,380.30
1985-07-01,380.57
1985-08-01,382.86
1985-09-01,383.26
1985-10-01,385.02
1985-11-01,386.24
1985-12-01,390.60
1986-01-01,387.87
1986-02-01,389.09
1986-03-01,389.91
1986-04-01,387.18
1986-05-01,390.31
1986-06-01,389.91
1986-07-01,389.76
1986-08-01,391.13
1986-09-01,390.72
1986-10-01,390.57
1986-11-01,392.35
1986-12-01,394.13
1987-01-01,394.54
1987-02-01,399.23
1987-03-01,398.11
1987-04-01,396.17
1987-05-01,398.93
1987-06-01,398.37
1987-07-01,399.34
1987-08-01,400.82
1987-09-01,401.88
1987-10-01,404.42
1987-11-01,404.67
1987-12-01,405.49
1988-01-01,407.30
1988-02-01,407.71
1988-03-01,406.55
1988-04-01,409.59
1988-05-01,410.82
1988-06-01,412.64
1988-07-01,413.06
1988-08-01,411.86
1988-09-01,414.92
1988-10-01,417.58
1988-11-01,418.81
1988-12-01,417.18
1989-01-01,420.45
1989-02-01,422.71
1989-03-01,422.92
1989-04-01,422.51
1989-05-01,422.30
1989-06-01,422.50
1989-07-01,423.72
1989-08-01,424.95
1989-09-01,424.73
1989-10-01,425.54
1989-11-01,424.91
1989-12-01,424.85
1990-01-01,426.06
1990-02-01,431.98
1990-03-01,434.01
1990-04-01,431.47
1990-05-01,436.04
1990-06-01,438.75
1990-07-01,439.97
1990-08-01,437.40
1990-09-01,439.83
1990-10-01,441.17
1990-11-01,437.78
1990-12-01,440.48
1991-01-01,440.99
1991-02-01,439.90
1991-03-01,440.00
1991-04-01,443.11
1991-05-01,445.82
1991-06-01,449.65
1991-07-01,452.79
1991-08-01,453.91
1991-09-01,455.13
1991-10-01,456.75
1991-11-01,458.28
1991-12-01,458.69
1992-01-01,456.34
1992-02-01,459.91
1992-03-01,460.72
1992-04-01,463.49
1992-05-01,465.85
1992-06-01,465.53
1992-07-01,466.34
1992-08-01,467.57
1992-09-01,466.02
1992-10-01,467.98
1992-11-01,469.94
1992-12-01,470.76
1993-01-01,474.71
1993-02-01,475.53
1993-03-01,472.46
1993-04-01,480.32
1993-05-01,478.82
1993-06-01,477.71
1993-07-01,480.46
1993-08-01,481.69
1993-09-01,485.69
1993-10-01,486.93
1993-11-01,488.58
1993-12-01,491.83
1994-01-01,492.66
1994-02-01,489.57
1994-03-01,498.32
1994-04-01,498.73
1994-05-01,500.76
1994-06-01,501.60
1994-07-01,502.85
1994-08-01,502.90
1994-09-01,502.94
1994-10-01,506.62
1994-11-01,507.87
1994-12-01,508.71
1995-01-01,509.96
1995-02-01,510.41
1995-03-01,507.96
1995-04-01,502.25
1995-05-01,504.71
1995-06-01,507.17
1995-07-01,509.23
1995-08-01,510.88
1995-09-01,511.29
1995-10-01,512.12
1995-11-01,514.19
1995-12-01,510.84
1996-01-01,500.22
1996-02-01,518.73
1996-03-01,513.75
1996-04-01,521.15
1996-05-01,526.19
1996-06-01,529.54
1996-07-01,529.92
1996-08-01,532.03
1996-09-01,534.56
1996-10-01,531.16
1996-11-01,534.52
1996-12-01,540.02
1997-01-01,537.79
1997-02-01,540.38
1997-03-01,545.07
1997-04-01,544.65
1997-05-01,545.02
1997-06-01,544.54
1997-07-01,544.96
1997-08-01,549.19
1997-09-01,549.19
1997-10-01,555.52
1997-11-01,557.19
1997-12-01,560.70
1998-01-01,558.95
1998-02-01,558.36
1998-03-01,558.69
1998-04-01,552.08
1998-05-01,558.18
1998-06-01,555.59
1998-07-01,552.28
1998-08-01,557.24
1998-09-01,558.38
1998-10-01,560.14
